institution_name,inst_type,institution_city,state_abbv
University of Mary Washington Alumni Association and University of Mary Washington Foundation,"Alumni Association, Foundation",Fredericksburg,VA
SIUE Alumni Association,Alumni Association,Edwardsville,IL
"Old Dominion University Alumni Association, Inc.",Alumni Association,Norfolk,VA
Seattle Pacific University,University,Seattle,WA
Colorado School of Mines Alumni Association,Alumni Association,Golden,CO
Westminster College ,University,New Wilmington,PA
Sigma Chi Foundation,Foundation,Evanston,IL
University of Tulsa,University,Tulsa,OK
Creighton University Alumni Association and Creighton University,"Alumni Association, University",Omaha,NE
Humboldt State University Alumni Association,Alumni Association,Arcata,CA
Berklee College of Music,University,Boston,MA
St. Lawrence University,University,Canton,NY
Eastern Washington University Alumni Association,Alumni Association,Cheney,WA
Montana State University at Billings Alumni Association,Alumni Association,Billings,MT
Saint Leo University,University,Saint Leo,FL
Sacred Heart University,University,Fairfield,CT
Kappa Alpha Psi,Other,Philadelphia,PA
International Legal Fraternity of Phi Delta Phi,Other,Greenbelt,MD
Dickinson College,University,Carlisle,PA
